1887;;;293.6;
1888;;;293.8;
1889;;;294.0;
1890;;293.7;294.2;
1891;;;294.3;
1892;;;294.5;294.6
1893;;;294.6;
1894;;;294.7;
1895;;295.2;294.8;
1896;;;294.9;
1897;;;295.0;
1898;;;295.2;294.7
1899;;;295.5;
1900;;296.7;295.8;
1901;;;296.1;
1902;;;296.5;
1903;;;296.8;
1904;;;297.2;
1905;;298.2;297.6;298.5
1906;;;298.1;
1907;;;298.5;
1908;;;298.9;
1909;;;299.3;
1910;;299.9;299.7;
1911;;;300.1;
1912;;;300.4;300.7
1913;;;300.8;
1914;;;301.1;
1915;;301.5;301.4;301.3
1916;;;301.7;
1917;;;302.1;
1918;;;302.4;
1919;;;302.7;
1920;;303.2;303.0;
1921;;;303.4;
1922;;;303.8;
1923;;;304.1;
1924;;;304.5;304.1
1925;;304.9;305.0;
1926;;;305.4;
1927;;;305.8;
1928;;;306.3;
1929;;;306.8;
1930;;306.5;306.5;
1931;;;307.7;
1932;;;308.2;307.8
1933;;;308.6;
1934;;;309.0;
1935;;308.0;309.4;
1936;;;309.8;
1937;;;310.0;
1938;;;310.2;310.5
1939;;;310.3;311.0
1940;;309.3;310.4;
1941;;;310.4;
1942;;;310.3;
1943;;;310.2;
1944;;;310.1;309.7
1945;;310.5;310.1;
1946;;;310.1;
1947;;;310.2;
1948;;;310.3;
1949;;;310.5;
1950;;312.0;310.7;
1951;;;311.1;
1952;;;311.5;
1953;;;311.9;312.7
1954;;;312.4;
1955;;314.1;313.0;
1956;;;313.6;
1957;;;314.2;
1958;;;314.9;
1959;315.98;;315.6;
1960;316.91;316.9;316.3;
1961;317.64;;317.0;
1962;318.45;;317.7;317.0
1963;;;;318.2
1964;319.62;;319.2;
1965;320.04;320.5;320.0;318.8
1966;321.37;;320.8;
1967;322.18;;321.8;
1968;323.05;;322.8;323.7
1969;324.62;;323.8;323.2
1970;325.68;324.7;324.8;
1971;326.32;;325.8;
1972;327.46;;326.9;
1973;329.68;;328.0;
1974;330.19;;329.2;
1975;331.13;329.4;330.3;
1976;332.03;;331.5;
1977;333.84;;332.6;
1978;335.41;;333.7;
1979;336.84;;;
1980;338.76;;;
1981;340.12;;;
1982;341.48;;;
1983;343.15;;;
1984;344.87;;;
1985;346.35;;;
1986;347.61;;;
1987;349.31;;;
1988;351.69;;;
1989;353.20;;;
1990;354.45;;;
1991;355.70;;;
1992;356.54;;;
1993;357.21;;;
1994;358.96;;;
1995;360.97;;;
1996;362.74;;;
1997;363.88;;;
1998;366.84;;;
1999;368.54;;;
2000;369.71;;;
2001;371.32;;;
2002;373.45;;;
2003;375.98;;;
2004;377.70;;;
2005;379.98;;;
2006;382.09;;;
2007;384.02;;;
2008;385.83;;;
2009;387.64;;;
2010;390.10;;;
2011;391.85;;;
2012;394.06;;;
2013;396.74;;;
2014;398.81;;;
2015;401.01;;;
2016;404.41;;;
2017;406.76;;;
2018;408.72;;;
2019;411.66;;;
2020;414.24;;;
2021;416.45;;;
2022;418.56;;;
